VendorId, ServiceId, ProductId, CircleCode, MSISDN, Provisioned-ServiceId, ResultCode, Result Description,Time
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,37:42.0
1,601626,7574,NESA,9.20E+11,601626,124,Below minimum balance,37:42.1
1,30030023,11005,HP,9.20E+11,30030023,124,Below minimum balance,37:42.1
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,37:42.2
1,30030023,11005,HP,9.20E+11,30030023,124,Below minimum balance,37:42.3
1,300326,11084,HP,9.20E+11,300326,124,Below minimum balance,37:42.3
1,2051260,7565,WB,9.20E+11,2051260,124,Below minimum balance,37:42.4
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,37:42.4
1,601626,7574,NESA,9.20E+11,601626,124,Below minimum balance,37:42.5
1,30030023,11005,HP,9.20E+11,30030023,124,Below minimum balance,37:44.3
1,60160023,7515,NESA,9.20E+11,60160023,124,Below minimum balance,37:44.3
1,601626,7574,NESA,9.20E+11,601626,124,Below minimum balance,37:44.3
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,37:44.4
1,601626,7574,NESA,9.20E+11,601626,124,Below minimum balance,37:44.4
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,37:44.4
1,10020023,11006,PB,9.20E+11,10020023,124,Below minimum balance,37:44.4
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,37:44.5
1,300326,11084,HP,9.20E+11,300326,124,Below minimum balance,37:44.5
1,10310023,7525,KOL,9.20E+11,10310023,124,Below minimum balance,37:44.7
